DOI,Link,Abstract
"10.1140/epjds/s13688-019-0187-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062548865&doi=10.1140%2fepjds%2fs13688-019-0187-7&partnerID=40&md5=4b611390885b2f60cf17348a07463183","The tendency of people to form socially cohesive groups that get together in urban spaces is a fundamental process that drives the formation of the social structure of cities. However, the challenge of collecting and mining large-scale data able to unveil both the social and the mobility patterns of people has left many questions about urban social groups largely unresolved. We leverage an anonymized mobile phone dataset, based on Call Detail Records (CDRs), which integrates the usual voice call data with text message and Internet activity information of one million mobile subscribers in the metropolitan area of Milan to investigate how the members of social groups interact and meet onto the urban space. We unveil the nature of these groups through an extensive analysis, along with proposing a methodology for their identification. The findings of this study concern the social group behavior, their structure (size and membership) and their root in the territory (locations and visit patterns). Specifically, the footprint of urban groups is made up by a few visited locations only; which are regularly visited by the groups. Moreover, the analysis of the interaction patterns shows that urban groups need to combine frequent on-phone interactions with gatherings in such locations. Finally, we investigate how their preferences impact the city of Milan telling us which areas encourage group get-togethers best. © 2019, The Author(s)."
"10.1140/epjds/s13688-019-0186-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062279025&doi=10.1140%2fepjds%2fs13688-019-0186-8&partnerID=40&md5=efeec71400c5f5d13004209f46502114","Car sharing is one the pillars of a smart transportation infrastructure, as it is expected to reduce traffic congestion, parking demands and pollution in our cities. From the point of view of demand modelling, car sharing is a weak signal in the city landscape: only a small percentage of the population uses it, and thus it is difficult to study reliably with traditional techniques such as households travel diaries. In this work, we depart from these traditional approaches and we leverage web-based, digital records about vehicle availability in 10 European cities for one of the major active car sharing operators. We discuss which sociodemographic and urban activity indicators are associated with variations in car sharing demand, which forecasting approach (among the most popular in the related literature) is better suited to predict pickup and drop-off events, and how the spatio-temporal information about vehicle availability can be used to infer how different zones in a city are used by customers. We conclude the paper by presenting a direct application of the analysis of the dataset, aimed at identifying where to locate maintenance facilities within the car sharing operation area. © 2019, The Author(s)."
"10.1140/epjds/s13688-019-0184-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062273331&doi=10.1140%2fepjds%2fs13688-019-0184-x&partnerID=40&md5=2c68e73c347b3240cf2c5f0d65c959b7","Religion is considered as a notable origin of interpersonal relations, as well as an effective and efficient tool to organize a huge number of people towards some challenging targets. At the same time, a believer prefers to make friend with other people of the same faith, and thus people of different faiths tend to form relatively isolated communities. The segregation between different religions is a major factor for many social conflicts. However, quantitative understanding of religious segregation is rare. Here we analyze a directed social network extracted from weibo.com (the largest directed social network in China, similar to twitter.com), which is consisted of 6875 believers in Christianity, Buddhism, Islam and Taoism. This religion network is highly segregative. Comparative analysis shows that the extent of segregation for different religions is much higher than that for different races and slightly higher than that for different political parties. Furthermore, we study the few cross-religion links and find 46.7% of them are probably related to charitable issues. Our findings provide quantitative insights into religious segregation and valuable evidence for religious syncretism. © 2019, The Author(s)."
"10.1140/epjds/s13688-019-0182-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061713419&doi=10.1140%2fepjds%2fs13688-019-0182-z&partnerID=40&md5=2117d9fe6d86defa0c67a5ff697205d0","The global community decorates their homes based on personal decisions and contextual influences of their larger cultural and economic surroundings. The extent to which spatial patterns emerge in residential decoration practices has been traditionally difficult to ascertain due to the private nature of interior home spaces. Yet, measuring these patterns can reveal the presence of geographic culture hearths and/or globalization trends. In this work, we collected over one million geolocated images of interior living spaces from a popular home rental website, Airbnb (http://airbnb.com), and used transfer learning techniques to automatically detect the presence of key stylistic objects: plants, books, decor, wall art and predominance of vibrant colors. We investigated patterns of home decor practices for 107 cities on six continents, and performed a deep dive into six major U.S. cities. We found that world regions show statistically significant variation in decorative element prevalence, indicating differences in geographic cultural trends. At the U.S. neighborhood level, elements were only weakly spatially clustered and found to not correlate with socio-economic neighborhood variables such as income, unemployment rates, education attainment, residential property value, and racial diversity. These results may suggest that American residents in different socio-economic environments put similar effort into personalizing and caring for their homes. More broadly, our results represent a new view of worldwide human behavior and a new application of machine learning techniques to the exploration of cultural phenomena. © 2019, The Author(s)."
"10.1140/epjds/s13688-019-0183-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061621407&doi=10.1140%2fepjds%2fs13688-019-0183-y&partnerID=40&md5=1b9d624e18789ca0f14d994fda8ff0ac","The diffusion of new information and communication technologies—social media in particular—has played a key role in social and political activism in recent decades. In this paper, we propose a theory-motivated, spatiotemporal learning approach, ActAttn, that leverages social movement theories and a deep learning framework to examine the relationship between protest events and their social and geographical contexts as reflected in social media discussions. To do so, we introduce a novel predictive framework that incorporates a new design of attentional networks, and which effectively learns the spatiotemporal structure of features. Our approach is not only capable of forecasting the occurrence of future protests, but also provides theory-relevant interpretations—it allows for interpreting what features, from which places, have significant contributions on the protest forecasting model, as well as how they make those contributions. Our experiment results from three movement events indicate that ActAttn achieves superior forecasting performance, with interesting comparisons across the three events that provide insights into these recent movements. © 2019, The Author(s)."
"10.1140/epjds/s13688-019-0181-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060906667&doi=10.1140%2fepjds%2fs13688-019-0181-0&partnerID=40&md5=9922919ebd33c8a05602f7cdd44537c3","The Modified Mercalli intensity scale (Mercalli scale for short) is a qualitative measure used to express the perceived intensity of an earthquake in terms of damages. Accurate intensity reports are vital to estimate the type of emergency response required for a particular earthquake. In addition, Mercalli scale reports are needed to estimate the possible consequences of strong earthquakes in the future, based on the effects of previous events. Emergency offices and seismological agencies worldwide are in charge of producing Mercalli scale reports for each affected location after an earthquake. However, this task relies heavily on human observers in the affected locations, who are not always available or accurate. Consequently, Mercalli scale reports may take up to hours or even days to be published after an earthquake. We address this problem by proposing a method for early prediction of spatial Mercalli scale reports based on people’s reactions to earthquakes in social networks. By tracking users’ comments about real-time earthquakes, we create a collection of Mercalli scale point estimates at municipality (i.e., state subdivisions) level granularity. We introduce the concept of reinforced Mercalli support, which combines Mercalli scale point estimates with locally supported data (named ‘local support’). We use this concept to provide Mercalli scale estimates for real-world events by providing smooth point estimates using a spatial smoother that incorporates the distribution of municipalities in each affected region. Our method is the first method based on social media that can provide spatial reports of damages in the Mercalli intensity scale. Experimental results show that our method is accurate and provides early spatial Mercalli reports 30 minutes after an earthquake. Furthermore, we show that our method performs well for earthquake spatial detection and maximum intensity prediction tasks. Our findings indicate that social media is a valuable source of spatial information for quickly estimating earthquake damages. © 2019, The Author(s)."
"10.1140/epjds/s13688-018-0179-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059688337&doi=10.1140%2fepjds%2fs13688-018-0179-z&partnerID=40&md5=ade760c61226c946da2635b0401fc7c9","Pattern detection in network models provides insights to both global structure and local node interactions. In particular, studying patterns embedded within remittance and migration flow networks can be useful in understanding economic and sociologic trends and phenomena and their implications both in regional and global settings. We illustrate how topo-algebraic methods can be used to detect both local and global patterns that highlight simultaneous interactions among multiple nodes, giving a more holistic perspective on the network fabric and a higher order description of the overall flow structure of directed networks. Using the 2015 Asian net migration and remittance networks, we build and study the associated directed clique complexes whose topological features correspond to specific flow patterns in the networks. We generate diagrams recording the presence, persistence, and perpetuity of patterns and show how these diagrams can be used to make inferences about the characteristics of migrant movement patterns and remittance flows. © 2019, The Author(s)."
"10.1186/s40537-019-0199-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066050998&doi=10.1186%2fs40537-019-0199-y&partnerID=40&md5=d54054874f4d8cf6d291bfcca039cb77","Big data architectures have been gaining momentum in recent years. For instance, Twitter uses stream processing frameworks like Apache Storm to analyse billions of tweets per minute and learn the trending topics. However, architectures that process big data involve many different components interconnected via semantically different connectors. Such complex architectures make possible refactoring of the applications a difficult task for software architects, as applications might be very different with respect to the initial designs. As an aid to designers and developers, we developed OSTIA (Ordinary Static Topology Inference Analysis) that allows detecting the occurrence of common anti-patterns across big data architectures and exploiting software verification techniques on the elicited architectural models. This paper illustrates OSTIA and evaluates its uses and benefits on three industrial-scale case-studies. © 2019, The Author(s)."
"10.1186/s40537-019-0204-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066021315&doi=10.1186%2fs40537-019-0204-5&partnerID=40&md5=5b14492d41dbb1e75fcc08ac3f48d39e","Data validation is about verifying the correctness of data. When organisations update and refine their data transformations to meet evolving requirements, it is imperative to ensure that the new version of a workflow still produces the correct output. We motivate the need for workflows and describe the implementation of a validation tool called Diftong. This tool compares two tabular databases resulting from different versions of a workflow to detect and prevent potential unwanted alterations. Row-based and column-based statistics are used to quantify the results of the database comparison. Diftong was shown to provide accurate results in test scenarios, bringing benefits to companies that need to validate the outputs of their workflows. By automating this process, the risk of human error is also eliminated. Compared to the more labour-intensive manual alternative, it has the added benefit of improved turnaround time for the validation process. Together this allows for a more agile way of updating data transformation workflows. © 2019, The Author(s)."
"10.1186/s40537-019-0202-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065849860&doi=10.1186%2fs40537-019-0202-7&partnerID=40&md5=d73174419d206b5936ee2be064d6ab4e","No sleep! No sick days! No Holidays! alongside 24/7 around the clock tireless work, welcome to the world of Artificial Intelligence, how can humans match the phenomena of AI. Humanity is in the grip of an unstoppable, and exciting future with the future development of AI, humans must decide whether to ride on the coat-tails of AI or resist the inevitable change of the world as we know it. The real game changer will be the commercial availability of Quantum Computing. Humans must learn to work, live, learn and interact with AI or become second class citizens. Big data is the lifeblood of AI and Quantum Computing processing power will enable future computers to process incredible amounts of big data. AI is taking over the job’s human do, receptionists, drivers, chefs and in the future doctors and accountants. Quantum Supremacy will soon be achieved, and AI will soon reach and far exceed the “Singularity”. Will humans grasp the opportunity to develop with AI or resist? humans have the chance to develop with AI through brain computer interface (BCI) technology. Security and regulations have to be put in place, with questions of “Who is responsible for AI security and regulations”? and “can AI be trusted as an autonomous entity” also the ethical use of AI has to be addressed, “What about the rights and ethics of AI”?. The human race is on an inevitable path of AI dominance the question is “will humans and AI be friends or adversaries”? © 2019, The Author(s)."
"10.1186/s40537-019-0200-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065846315&doi=10.1186%2fs40537-019-0200-9&partnerID=40&md5=9d38369aaafd280689243812df61e9ad","Pattern mining is a powerful tool for analysing big datasets. Temporal datasets include time as an additional parameter. This leads to complexity in algorithmic formulation, and it can be challenging to process such data quickly and efficiently. In addition, errors or uncertainty can exist in the timestamps of data, for example in manually recorded health data. Sometimes we wish to find patterns only within a certain temporal range. In some cases real-time processing and decision-making may be desirable. All these issues increase algorithmic complexity, processing times and storage requirements. In addition, it may not be possible to store or process confidential data on public clusters or the cloud that can be accessed by many people. Hence it is desirable to optimise algorithms for standalone systems. In this paper we present an integrated approach which can be used to write efficient codes for pattern mining problems. The approach includes: (1) cleaning datasets with removal of infrequent events, (2) presenting a new scheme for time-series data storage, (3) exploiting the presence of prior information about a dataset when available, (4) utilising vectorisation and multicore parallelisation. We present two new algorithms, FARPAM (FAst Robust PAttern Mining) and FARPAMp (FARPAM with prior information about prior uncertainty, allowing faster searching). The algorithms are applicable to a wide range of temporal datasets. They implement a new formulation of the pattern searching function which reproduces and extends existing algorithms (such as SPAM and RobustSPAM), and allows for significantly faster calculation. The algorithms also include an option of temporal restrictions in patterns, which is available neither in SPAM nor in RobustSPAM. The searching algorithm is designed to be flexible for further possible extensions. The algorithms are coded in C++, and are highly optimised and parallelised for a modern standalone multicore workstation, thus avoiding security issues connected with transfers of confidential data onto clusters. FARPAM has been successfully tested on a publicly available weather dataset and on a confidential adult social care dataset, reproducing results obtained by previous algorithms in both cases. It has been profiled against the widely used SPAM algorithm (for sequential pattern mining) and RobustSPAM (developed for datasets with errors in time points). The algorithm outperforms SPAM by up to 20 times and RobustSPAM by up to 6000 times. In both cases the new algorithm has better scalability. © 2019, The Author(s)."
"10.1186/s40537-019-0203-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065817760&doi=10.1186%2fs40537-019-0203-6&partnerID=40&md5=e1d12b78f8811b00a7bed650b9e5e68e","Moving objects such as people, animals, and vehicles have generated a large amount of spatiotemporal data by using location-capture technologies and mobile devices. This collected data needs to be processed, visualized and analyzed to transform raw trajectory data into useful knowledge. In this study, we build a system to deliver a set of traffic insights and recommendations by applying two techniques, clustering, and sequential pattern mining. This system has three stages, the first stage preprocesses and samples the dataset into 168 subsets, the second stage applies two clustering techniques, the hierarchical density-based spatial clustering (HDBSCAN) and the Random Swap clustering (RS). We compare these two clustering algorithms in terms of processing time and quality of clusters. In the comparative analysis, the Silhouette coefficient shows that RS clustering outperforms HDBSCAN in terms of clusters quality. Moreover, the analysis shows that RS outperforms K-means in terms of the mean of square error (MSE) reduction. After that, we use a Google Maps approach to label the traffic districts and apply sequential pattern mining to extract taxi trips flow. The system can detect 146 sequential patterns in different areas of the city. In the last stage, we visualize traffic clusters generated from the RS algorithm. Furthermore, we visualize the taxi trips heatmap per weekday and hour of the day in Porto city. This system can be integrated with the current traffic control applications to provide useful guidelines for taxi drivers, passengers, and transportation authorities. © 2019, The Author(s)."
"10.1186/s40537-019-0201-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065572191&doi=10.1186%2fs40537-019-0201-8&partnerID=40&md5=d4b4617f340ec214a43292cbd871bd5d","We study the the spread and adoption of libraries within Python projects hosted in public software repositories on GitHub. By modelling the use of Git pull, merge, commit, and other actions as deliberate cognitive activities, we are able to better understand the dynamics of what happens when users adopt new and cognitively demanding information. For this task we introduce a large corpus containing all commits, diffs, messages, and source code from 259,690 Python repositories (about 13% of all Python projects on Github), including all Git activity data from 89,311 contributing users. In this initial work we ask two primary questions: (1) What kind of behavior change occurs near an adoption event? (2) Can we model future adoption activity of a user? Using a fine-grained analysis of user behavior, we show that library adoptions are followed by higher than normal activity within the first 6 h, implying that a higher than normal cognitive effort is involved with an adoption. Further study is needed to understand the specific types of events that surround the adoption of new information, and the cause of these dynamics. We also show that a simple linear model is capable of classifying future commits as being an adoption or not, based on the commit contents and the preceding history of the user and repository. Additional work in this vein may be able to predict the content of future commits, or suggest new libraries to users. © 2019, The Author(s)."
"10.1186/s40537-019-0196-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065422484&doi=10.1186%2fs40537-019-0196-1&partnerID=40&md5=05dae6735315f5a1131c7074a3d38dde","Hive has long been one of the industry-leading systems for Data Warehousing in Big Data contexts, mainly organizing data into databases, tables, partitions and buckets, stored on top of an unstructured distributed file system like HDFS. Some studies were conducted for understanding the ways of optimizing the performance of several storage systems for Big Data Warehousing. However, few of them explore the impact of data organization strategies on query performance, when using Hive as the storage technology for implementing Big Data Warehousing systems. Therefore, this paper evaluates the impact of data partitioning and bucketing in Hive-based systems, testing different data organization strategies and verifying the efficiency of those strategies in query performance. The obtained results demonstrate the advantages of implementing Big Data Warehouses based on denormalized models and the potential benefit of using adequate partitioning strategies. Defining the partitions aligned with the attributes that are frequently used in the conditions/filters of the queries can significantly increase the efficiency of the system in terms of response time. In the more intensive workload benchmarked in this paper, overall decreases of about 40% in processing time were verified. The same is not verified with the use of bucketing strategies, which shows potential benefits in very specific scenarios, suggesting a more restricted use of this functionality, namely in the context of bucketing two tables by the join attribute of these tables. © 2019, The Author(s)."
"10.1186/s40537-019-0198-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065421602&doi=10.1186%2fs40537-019-0198-z&partnerID=40&md5=51f08fe056ff75c3eee3b2da810a1e42","Background: Despite the well-documented and numerous recent successes of deep learning, the application of standard deep architectures to many classification problems within empirical software engineering remains problematic due to the large volumes of labeled data required for training. Here we make the argument that, for some problems, this hurdle can be overcome by taking advantage of low-shot learning in combination with simpler deep architectures that reduce the total number of parameters that need to be learned. Findings: We apply low-shot learning to the task of classifying UML class and sequence diagrams from Github, and demonstrate that surprisingly good performance can be achieved by using only tens or hundreds of examples for each category when paired with an appropriate architecture. Using a large, off-the-shelf architecture, on the other hand, doesn’t perform beyond random guessing even when trained on thousands of samples. Conclusion: Our findings suggest that identifying problems within empirical software engineering that lend themselves to low-shot learning could accelerate the adoption of deep learning algorithms within the empirical software engineering community. © 2019, The Author(s)."
